"ChIJbxUUlptfTW8RW_uZrJSgIKg","Discreet Design","https://interiordesigntricities.com/?utm_campaign=gmb"," +1 509-237-1315 ","No Value","https://www.google.com/maps/place/Discreet+Design/data=!4m7!3m6!1s0x6f4d5f9b9614156f:0xa820a094ac99fb5b!8m2!3d42.9913351!4d-123.299881!16s%2Fg%2F11tjscdsc_!19sChIJbxUUlptfTW8RW_uZrJSgIKg?authuser=0&hl=en&rclk=1",discreetdesigntc@gmail.com
"ChIJj0f033EDGEkRibmmKFZc1PQ","Rebekah Interior Design LLC","http://www.rebekahinteriordesign.com/"," +1 509-318-0366 ","No Value","https://www.google.com/maps/place/Rebekah+Interior+Design+LLC/data=!4m7!3m6!1s0x49180371dff4478f:0xf4d45c5628a6b989!8m2!3d46.3260005!4d-119.0375535!16s%2Fg%2F11spmlry1w!19sChIJj0f033EDGEkRibmmKFZc1PQ?authuser=0&hl=en&rclk=1",rebekahsinteriordesign@gmail.com
"ChIJCRTtZ8FlmFQRBRS6J_jqnrk","Decorating Den Interiors - The Rodgers Team","No Value"," +1 509-578-5159 ","No Value","https://www.google.com/maps/place/Decorating+Den+Interiors+-+The+Rodgers+Team/data=!4m7!3m6!1s0x549865c167ed1409:0xb99eeaf827ba1405!8m2!3d46.2876515!4d-119.0374766!16s%2Fg%2F11c3k4_npn!19sChIJCRTtZ8FlmFQRBRS6J_jqnrk?authuser=0&hl=en&rclk=1",undefined
"ChIJhZMWrIkxG4URMWnmtjudJLM","Jackie Gillette Design","No Value"," +1 509-222-8649 ","No Value","https://www.google.com/maps/place/Jackie+Gillette+Design/data=!4m7!3m6!1s0x851b3189ac169385:0xb3249d3bb6e66931!8m2!3d46.2874524!4d-119.0375535!16s%2Fg%2F11rcwnnk1m!19sChIJhZMWrIkxG4URMWnmtjudJLM?authuser=0&hl=en&rclk=1",undefined
"ChIJR-btfCAS_mER30vbZJHNaLc","Harper Drake Home","http://www.harperdrakehome.com/","No value","No Value","https://www.google.com/maps/place/Harper+Drake+Home/data=!4m7!3m6!1s0x61fe12207cede647:0xb768cd9164db4bdf!8m2!3d46.2653155!4d-119.2118925!16s%2Fg%2F11kpp_tk9h!19sChIJR-btfCAS_mER30vbZJHNaLc?authuser=0&hl=en&rclk=1",hayley@harperdrakehome.com
"ChIJ8dL31Q94mFQRRecGqQRK4S4","Fine Design Home Staging and Redesign","http://www.debbieo.design/"," +1 509-366-7870 ","No Value","https://www.google.com/maps/place/Fine+Design+Home+Staging+and+Redesign/data=!4m7!3m6!1s0x5498780fd5f7d2f1:0x2ee14a04a906e745!8m2!3d46.2876515!4d-118.934103!16s%2Fg%2F11bvt09td_!19sChIJ8dL31Q94mFQRRecGqQRK4S4?authuser=0&hl=en&rclk=1",undefined
"ChIJUxReJ017mFQRw3CA8jy1kok","Yet Lovely- Interior Design + Shoppe","http://www.audrathurman.com/"," +1 509-380-1978 ","Address: 1333 Tapteal Dr #106, Richland, WA 99352, United States ","https://www.google.com/maps/place/Yet+Lovely-+Interior+Design+%2B+Shoppe/data=!4m7!3m6!1s0x54987b4d275e1453:0x8992b53cf28070c3!8m2!3d46.2312236!4d-119.2320283!16s%2Fg%2F11tt23y484!19sChIJUxReJ017mFQRw3CA8jy1kok?authuser=0&hl=en&rclk=1",yetlovely@audrathurman.com
"ChIJr0bvetRkmFQR8tNhL9bmgxo","Desert Designs Interiors","No Value"," +1 509-946-6707 ","Address: 1913 Davison Ave, Richland, WA 99354, United States ","https://www.google.com/maps/place/Desert+Designs+Interiors/data=!4m7!3m6!1s0x549864d47aef46af:0x1a83e6d62f61d3f2!8m2!3d46.301506!4d-119.2693043!16s%2Fg%2F1vvyxs_f!19sChIJr0bvetRkmFQR8tNhL9bmgxo?authuser=0&hl=en&rclk=1",undefined
"ChIJ4WIY3pN5mFQRMvWyYqPYHj8","Valiant Design","No Value"," +1 509-440-0897 ","Address: 8503 W Clearwater Ave Ste D, Kennewick, WA 99336, United States ","https://www.google.com/maps/place/Valiant+Design/data=!4m7!3m6!1s0x54987993de1862e1:0x3f1ed8a362b2f532!8m2!3d46.2088083!4d-119.236!16s%2Fg%2F11kvtyfvbp!19sChIJ4WIY3pN5mFQRMvWyYqPYHj8?authuser=0&hl=en&rclk=1",undefined
"ChIJsTrxPDt5mFQRQkRTE2jGPV8","Amotif","http://amotifdesigns.com/"," +1 509-737-1000 ","Address: 418 N Kellogg St Suite B, Kennewick, WA 99336, United States ","https://www.google.com/maps/place/Amotif/data=!4m7!3m6!1s0x5498793b3cf13ab1:0x5f3dc66813534442!8m2!3d46.2150647!4d-119.2006336!16s%2Fg%2F11kn0sl7sg!19sChIJsTrxPDt5mFQRQkRTE2jGPV8?authuser=0&hl=en&rclk=1",undefined
"ChIJxdiZxEdxmFQRgb3qRosuiD0","Bohemian Sunstone","https://bohemian-sunstone.ueniweb.com/?utm_campaign=gmb"," +1 509-593-8880 ","Address: x, Richland, WA 99352, United States ","https://www.google.com/maps/place/Bohemian+Sunstone/data=!4m7!3m6!1s0x54987147c499d8c5:0x3d882e8b46eabd81!8m2!3d46.239409!4d-119.2934654!16s%2Fg%2F11lsn7yjzg!19sChIJxdiZxEdxmFQRgb3qRosuiD0?authuser=0&hl=en&rclk=1",bsdecorme@gmail.com
"ChIJxb_6r794mFQRqXj4bErj26Y","Perfection Pittsburgh Paint","No Value"," +1 509-586-1195 ","Address: 8818 W Victoria Ave, Kennewick, WA 99336, United States ","https://www.google.com/maps/place/Perfection+Pittsburgh+Paint/data=!4m7!3m6!1s0x549878bfaffabfc5:0xa6dbe34a6cf878a9!8m2!3d46.2288091!4d-119.2422567!16s%2Fg%2F1v3hzpyl!19sChIJxb_6r794mFQRqXj4bErj26Y?authuser=0&hl=en&rclk=1",undefined
"ChIJVVWFfxtmmFQRVPgPqmLjans","ReDesigns by Brenda","http://www.redesignsbybrenda.com/"," +1 509-947-5777 ","No Value","https://www.google.com/maps/place/ReDesigns+by+Brenda/data=!4m7!3m6!1s0x5498661b7f855555:0x7b6ae362aa0ff854!8m2!3d45.497263!4d-120.656118!16s%2Fg%2F11hcvzj5mj!19sChIJVVWFfxtmmFQRVPgPqmLjans?authuser=0&hl=en&rclk=1",brenda@redesignsbybrenda.com
"ChIJabV1vJS43EURAOpr0zmAJYI","Juniper & Sage Interiors","http://www.juniperandsageinteriors.com/"," +1 208-921-1003 ","No Value","https://www.google.com/maps/place/Juniper+%26+Sage+Interiors/data=!4m7!3m6!1s0x45dcb894bc75b569:0x82258039d36bea00!8m2!3d45.622931!4d-119.4693365!16s%2Fg%2F11td0_n75b!19sChIJabV1vJS43EURAOpr0zmAJYI?authuser=0&hl=en&rclk=1",undefined
"ChIJwWUlFbVtmFQRcC4gg4H_gqQ","Goode Color","https://www.houzz.com/professionals/interior-designers-and-decorators/goode-color-judy-b-goode-pfvwus-pf~1040849992"," +1 925-360-8341 ","No Value","https://www.google.com/maps/place/Goode+Color/data=!4m7!3m6!1s0x54986db5152565c1:0xa482ff8183202e70!8m2!3d46.2874524!4d-119.0375535!16s%2Fg%2F11hf7djxlr!19sChIJwWUlFbVtmFQRcC4gg4H_gqQ?authuser=0&hl=en&rclk=1",undefined
"ChIJH2gw_FXamoART_EU01KaWMs","Katrina Riley Interior Design","http://katrinariley.com/"," +1 916-802-8968 ","No Value","https://www.google.com/maps/place/Katrina+Riley+Interior+Design/data=!4m7!3m6!1s0x809ada55fc30681f:0xcb589a52d314f14f!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11c2pnjgky!19sChIJH2gw_FXamoART_EU01KaWMs?authuser=0&hl=en&rclk=1",info@katrinastumbos.com, press@katrinastumbos.com
"ChIJHUeORVDbmoARSMJizkUNV_w","Rebecca Ward Design","https://www.rwarddesign.com/"," +1 916-668-9590 ","Address: 1812 J St #5, Sacramento, CA 95811, United States ","https://www.google.com/maps/place/Rebecca+Ward+Design/data=!4m7!3m6!1s0x809adb50458e471d:0xfc570d45ce62c248!8m2!3d38.5769159!4d-121.4821285!16s%2Fg%2F1tdfhyjv!19sChIJHUeORVDbmoARSMJizkUNV_w?authuser=0&hl=en&rclk=1",contact@rwarddesign.com, hello@rwarddesign.com
"ChIJuZDkS0PRmoARmcedpxEFZtc","WOOL Design Studio","https://www.wooldesign.co/"," +1 916-538-0775 ","No Value","https://www.google.com/maps/place/WOOL+Design+Studio/data=!4m7!3m6!1s0x809ad1434be490b9:0xd7660511a79dc799!8m2!3d37.8565844!4d-120.0651799!16s%2Fg%2F11f61bqv7h!19sChIJuZDkS0PRmoARmcedpxEFZtc?authuser=0&hl=en&rclk=1",contact@wooldesign.co
"ChIJVwq1Q7n6moARl0Kqj_JHV5A","Nar Design Group","http://www.nardesigngroup.com/"," +1 916-944-0906 ","Address: 5600 Elvas Ave, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Nar+Design+Group/data=!4m7!3m6!1s0x809afab943b50a57:0x905747f28faa4297!8m2!3d38.5704919!4d-121.4337572!16s%2Fg%2F1tx4pm5_!19sChIJVwq1Q7n6moARl0Kqj_JHV5A?authuser=0&hl=en&rclk=1",contact@nardesigngroup.com
"ChIJV4UYtDTRmoAR5UnQvCcH0HU","Nested with Style","http://www.nestedwithstyle.com/"," +1 916-591-1686 ","No Value","https://www.google.com/maps/place/Nested+with+Style/data=!4m7!3m6!1s0x809ad134b4188557:0x75d00727bcd049e5!8m2!3d38.5444599!4d-121.293211!16s%2Fg%2F11h9h322zs!19sChIJV4UYtDTRmoAR5UnQvCcH0HU?authuser=0&hl=en&rclk=1",nestedwithstyle@gmail.com
"ChIJe7M2J5TQmoARrcciLh3WwDI","Kerrie Kelly Design Lab","https://kerriekelly.com/"," +1 916-919-3023 ","No Value","https://www.google.com/maps/place/Kerrie+Kelly+Design+Lab/data=!4m7!3m6!1s0x809ad0942736b37b:0x32c0d61d2e22c7ad!8m2!3d37.2691675!4d-119.306607!16s%2Fg%2F113g40g76!19sChIJe7M2J5TQmoARrcciLh3WwDI?authuser=0&hl=en&rclk=1",kerrie@kerriekelly.com
"ChIJD_guD33amoARZbKy59EMsV0","Camille Horton Certified Interior Designer","No Value"," +1 916-456-3344 ","No Value","https://www.google.com/maps/place/Camille+Horton+Certified+Interior+Designer/data=!4m7!3m6!1s0x809ada7d0f2ef80f:0x5db10cd1e7b2b265!8m2!3d37.2691675!4d-119.306607!16s%2Fg%2F1tfmnn3p!19sChIJD_guD33amoARZbKy59EMsV0?authuser=0&hl=en&rclk=1",undefined
"ChIJG9QVd3jamoARrJ5VhQ9nYHA","Janice Stone Thomas Interior Design","http://www.stonewooddesign.com/"," +1 916-454-1506 ","Address: 900 46th St, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Janice+Stone+Thomas+Interior+Design/data=!4m7!3m6!1s0x809ada787715d41b:0x7060670f85559eac!8m2!3d38.5692735!4d-121.445358!16s%2Fg%2F1tdfhyjn!19sChIJG9QVd3jamoARrJ5VhQ9nYHA?authuser=0&hl=en&rclk=1",undefined
"ChIJtdLboldUdkAR3WvlEjzKEfo","Johns Gary & Associates Interior Design","No Value"," +1 916-454-1105 ","Address: 5523 F St, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Johns+Gary+%26+Associates+Interior+Design/data=!4m7!3m6!1s0x40765457a2dbd2b5:0xfa11ca3c12e56bdd!8m2!3d38.5707893!4d-121.4336115!16s%2Fg%2F11b5yw2j34!19sChIJtdLboldUdkAR3WvlEjzKEfo?authuser=0&hl=en&rclk=1",undefined
"ChIJ83_WNvrbmoARWxsW2_7OZxQ","Studio Connolly","https://studioconnolly.com/"," +1 916-573-9217 ","Address: 2716 Avalon Dr, Sacramento, CA 95821, United States ","https://www.google.com/maps/place/Studio+Connolly/data=!4m7!3m6!1s0x809adbfa36d67ff3:0x1467cefedb161b5b!8m2!3d38.6148886!4d-121.3674303!16s%2Fg%2F11mvqjcvls!19sChIJ83_WNvrbmoARWxsW2_7OZxQ?authuser=0&hl=en&rclk=1",leah@studioconnolly.com
"ChIJgd1o7vr7Py4R7mMQcj6nqis","Consult Interiors","https://www.consultinteriors.com/"," +1 916-572-4252 ","No Value","https://www.google.com/maps/place/Consult+Interiors/data=!4m7!3m6!1s0x2e3ffbfaee68dd81:0x2baaa73e721063ee!8m2!3d37.2691675!4d-119.306607!16s%2Fg%2F11tsmm6002!19sChIJgd1o7vr7Py4R7mMQcj6nqis?authuser=0&hl=en&rclk=1",ayka@consultinteriors.com
"ChIJK1ocxFLamoAR304AXbgfuCQ","Pacific Design Group","http://www.pdginteriors.com/"," +1 916-779-1115 ","Address: 950 Fulton Ave, Sacramento, CA 95825, United States ","https://www.google.com/maps/place/Pacific+Design+Group/data=!4m7!3m6!1s0x809ada52c41c5a2b:0x24b81fb85d004edf!8m2!3d38.5827588!4d-121.4012058!16s%2Fg%2F11b6v853_7!19sChIJK1ocxFLamoAR304AXbgfuCQ?authuser=0&hl=en&rclk=1",contactus@pdginteriors.com
"ChIJkz0KQcj6moARsAcle3xU43k","HAVEN STUDIOS","http://www.haven-studios.com/"," +1 916-256-2580 ","Address: 4101 J St Suite 210, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/HAVEN+STUDIOS/data=!4m7!3m6!1s0x809afac8410a3d93:0x79e3547c7b2507b0!8m2!3d38.5693418!4d-121.4514401!16s%2Fg%2F1yglpdd7j!19sChIJkz0KQcj6moARsAcle3xU43k?authuser=0&hl=en&rclk=1",hello@haven-studios.com
"ChIJKZXk9iLQmoAR2iT9ZS0FY6w","Upstage Staging Company","http://upstagestagingco.com/"," +1 916-879-3322 ","Address: 3431 33rd Ave suite i, Sacramento, CA 95824, United States ","https://www.google.com/maps/place/Upstage+Staging+Company/data=!4m7!3m6!1s0x809ad022f6e49529:0xac63052d65fd24da!8m2!3d38.5228608!4d-121.4699989!16s%2Fg%2F11byl1d6h5!19sChIJKZXk9iLQmoAR2iT9ZS0FY6w?authuser=0&hl=en&rclk=1",impallari@gmail.com, team@latofonts.com
"ChIJeV3CjXTOmoARnmK7HSCIDJo","Alta Construction & Design, Inc.","No Value"," +1 916-233-5858 ","Address: 1029 H St #103, Sacramento, CA 95814, United States ","https://www.google.com/maps/place/Alta+Construction+%26+Design,+Inc./data=!4m7!3m6!1s0x809ace748dc25d79:0x9a0c88201dbb629e!8m2!3d38.5825677!4d-121.4914037!16s%2Fg%2F1tfbyqgj!19sChIJeV3CjXTOmoARnmK7HSCIDJo?authuser=0&hl=en&rclk=1",undefined
"ChIJlS8yz2TamoARoT-ZcJ4_OQw","designTECH Interior Design Services, Inc.","https://www.designtech-ids.com/"," +1 916-453-2888 ","Address: 5520 Elvas Ave, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/designTECH+Interior+Design+Services,+Inc./data=!4m7!3m6!1s0x809ada64cf322f95:0xc393f9e70993fa1!8m2!3d38.5712426!4d-121.4336132!16s%2Fg%2F1263_m0p_!19sChIJlS8yz2TamoARoT-ZcJ4_OQw?authuser=0&hl=en&rclk=1",info@designtech-ids.com
"ChIJywyKlmLamoARqbvBOM1MFRE","Design Alchemy","http://designalchemyltd.com/"," +1 916-999-1409 ","Address: 4137 H St, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Design+Alchemy/data=!4m7!3m6!1s0x809ada62968a0ccb:0x11154ccd38c1bba9!8m2!3d38.5712557!4d-121.4495882!16s%2Fg%2F11c1r7fkqv!19sChIJywyKlmLamoARqbvBOM1MFRE?authuser=0&hl=en&rclk=1",info@designalchemyltd.com
"ChIJsVzWvlLamoAR3S3a-q3oKqw","Benning Design Construction","http://benningdc.com/"," +1 916-448-8120 ","Address: 960 Fulton Ave, Sacramento, CA 95825, United States ","https://www.google.com/maps/place/Benning+Design+Construction/data=!4m7!3m6!1s0x809ada52bed65cb1:0xac2ae8adfada2ddd!8m2!3d38.5831612!4d-121.4010003!16s%2Fg%2F11cs6f5306!19sChIJsVzWvlLamoAR3S3a-q3oKqw?authuser=0&hl=en&rclk=1",info@benningdc.com
"ChIJK-_eM2PamoARalzGmbwzH38","Atmosphere Design Group","http://www.adgstyle.com/"," +1 916-454-1056 ","Address: 1725 10th St, Sacramento, CA 95811, United States ","https://www.google.com/maps/place/Atmosphere+Design+Group/data=!4m7!3m6!1s0x809ada6333deef2b:0x7f1f33bc99c65c6a!8m2!3d38.571797!4d-121.496938!16s%2Fg%2F1tsykfm_!19sChIJK-_eM2PamoARalzGmbwzH38?authuser=0&hl=en&rclk=1",undefined
"ChIJne5sRT_bmoARV7uNm5-dXNA","Phoenix Designs by EPM","http://www.facebook.com/phoenixdesigns916"," +1 916-616-6958 ","Address: 5523 F St Suite A, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Phoenix+Designs+by+EPM/data=!4m7!3m6!1s0x809adb3f456cee9d:0xd05c9d9f9b8dbb57!8m2!3d38.5707894!4d-121.4336115!16s%2Fg%2F11rk1yz2xl!19sChIJne5sRT_bmoARV7uNm5-dXNA?authuser=0&hl=en&rclk=1",undefined
"ChIJDyLmVYTQmoARVbsXQd1BOPk","Nancy Pape Inc","No Value"," +1 916-216-1603 ","Address: 1335 40th St, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Nancy+Pape+Inc/data=!4m7!3m6!1s0x809ad08455e6220f:0xf93841dd4117bb55!8m2!3d38.5660198!4d-121.4538618!16s%2Fg%2F113h1xsx3!19sChIJDyLmVYTQmoARVbsXQd1BOPk?authuser=0&hl=en&rclk=1",undefined
"ChIJ4ylRtv_amoARoIz53egxLjk","Kleeman & Associates","http://www.lindakleeman.com/"," +1 916-489-3800 ","Address: 350 Munroe St, Sacramento, CA 95825, United States ","https://www.google.com/maps/place/Kleeman+%26+Associates/data=!4m7!3m6!1s0x809adaffb65129e3:0x392e31e8ddf98ca0!8m2!3d38.5725933!4d-121.4011706!16s%2Fg%2F1tl9mtzw!19sChIJ4ylRtv_amoARoIz53egxLjk?authuser=0&hl=en&rclk=1",undefined
"ChIJUZePchC6CEcRL7BXqPAz600","Young & Five","http://www.youngandfive.com/"," +1 707-536-1169 ","No Value","https://www.google.com/maps/place/Young+%26+Five/data=!4m7!3m6!1s0x4708ba10728f9751:0x4deb33f0a857b02f!8m2!3d38.3340091!4d-122.9273464!16s%2Fg%2F11kh_ms3pb!19sChIJUZePchC6CEcRL7BXqPAz600?authuser=0&hl=en&rclk=1",mollie.youngstrom@gmail.com
"ChIJY3Y6CQCNwWMRaQBYlOwiBDk","Jetsam Interiors","http://www.jetsaminteriors.com/"," +1 415-425-9627 ","Address: 1537 48th St, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Jetsam+Interiors/data=!4m7!3m6!1s0x63c18d00093a7663:0x390422ec94580069!8m2!3d38.5605632!4d-121.4467089!16s%2Fg%2F11rvfxqf01!19sChIJY3Y6CQCNwWMRaQBYlOwiBDk?authuser=0&hl=en&rclk=1",jetsaminteriors@gmail.com
"ChIJIZ4dWfEm4ikRm_74LAviGpY","Studio Q Designs","https://studioq-designs.com/"," +1 916-661-6489 ","Address: 855 57th St Suite D, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Studio+Q+Designs/data=!4m7!3m6!1s0x29e226f1591d9e21:0x961ae20b2cf8fe9b!8m2!3d38.5661364!4d-121.43263!16s%2Fg%2F11thf5hbg8!19sChIJIZ4dWfEm4ikRm_74LAviGpY?authuser=0&hl=en&rclk=1",undefined
"ChIJDR8v6MnXmoARYcjpwcO7g_Y","Interior Specialists","http://www.interiorspecialists.com/","No value","Address: 1164 National Dr, Sacramento, CA 95834, United States ","https://www.google.com/maps/place/Interior+Specialists/data=!4m7!3m6!1s0x809ad7c9e82f1f0d:0xf683bbc3c1e9c861!8m2!3d38.6456654!4d-121.4871514!16s%2Fg%2F12vrws662!19sChIJDR8v6MnXmoARYcjpwcO7g_Y?authuser=0&hl=en&rclk=1",communications@interiorlogicgroup.com
"ChIJGYySPtbbmoARAh85mMIMaBA","Revive Design Collective","http://www.revivedesigncollective.com/"," +1 916-208-4490 ","Address: 221 Sandburg Dr, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Revive+Design+Collective/data=!4m7!3m6!1s0x809adbd63e928c19:0x10680cc298391f02!8m2!3d38.5707931!4d-121.4254159!16s%2Fg%2F11k0vxc6vv!19sChIJGYySPtbbmoARAh85mMIMaBA?authuser=0&hl=en&rclk=1",lauren@revivedesigncollective.com
"ChIJ2cGs9GTbmoARXGM_z0MSTPQ","Greenish Design","https://www.greenishdesign.com/"," +1 424-242-9591 ","Address: 836 57th St Suite 508, Sacramento, CA 95819, United States ","https://www.google.com/maps/place/Greenish+Design/data=!4m7!3m6!1s0x809adb64f4acc1d9:0xf44c1243cf3f635c!8m2!3d38.566393!4d-121.4333978!16s%2Fg%2F11p3kzf320!19sChIJ2cGs9GTbmoARXGM_z0MSTPQ?authuser=0&hl=en&rclk=1",contact@greenishdesign.com
"ChIJhfH5kwwfm4ARkJBWETzVrrg","House Arte - House Design Plans","http://www.housearte.com/"," +1 916-521-3263 ","No Value","https://www.google.com/maps/place/House+Arte+-+House+Design+Plans/data=!4m7!3m6!1s0x809b1f0c93f9f185:0xb8aed53c11569090!8m2!3d38.6452818!4d-121.374421!16s%2Fg%2F11cn9rtq1_!19sChIJhfH5kwwfm4ARkJBWETzVrrg?authuser=0&hl=en&rclk=1",undefined
"ChIJq-VlOJLQmoAR3WJCdkjLRDw","Porta Bella International","http://portabellastudios.com/"," +1 916-454-9074 ","Address: 3330 Folsom Blvd, Sacramento, CA 95816, United States ","https://www.google.com/maps/place/Porta+Bella+International/data=!4m7!3m6!1s0x809ad0923865e5ab:0x3c44cb48764262dd!8m2!3d38.5670913!4d-121.4642167!16s%2Fg%2F1tcxk02x!19sChIJq-VlOJLQmoAR3WJCdkjLRDw?authuser=0&hl=en&rclk=1",designupdates@portabellastudios.com
"ChIJjQGtbzjbmoAR5ei6bcfoWbA","Marin Design Co.","http://www.marindesignco.com/","No value","Address: 3519 Fair Oaks Blvd, Sacramento, CA 95864, United States ","https://www.google.com/maps/place/Marin+Design+Co./data=!4m7!3m6!1s0x809adb386fad018d:0xb059e8c76dbae8e5!8m2!3d38.5745707!4d-121.381907!16s%2Fg%2F11t9jrjb5g!19sChIJjQGtbzjbmoAR5ei6bcfoWbA?authuser=0&hl=en&rclk=1",undefined
"ChIJW1PHL-PQmoARtMH56ViREjc","AlleyWorks Design Studio","http://alleyworksdesign.com/"," +1 415-827-3382 ","Address: 1947 1st Ave, Sacramento, CA 95818, United States ","https://www.google.com/maps/place/AlleyWorks+Design+Studio/data=!4m7!3m6!1s0x809ad0e32fc7535b:0x37129158e9f9c1b4!8m2!3d38.5588076!4d-121.4878329!16s%2Fg%2F11fjqkc7jn!19sChIJW1PHL-PQmoARtMH56ViREjc?authuser=0&hl=en&rclk=1",undefined
